baapiiw'aan	brush dust or
bashkzi	be featherless be
baskawaan	shinny bag
baskawe	play shinny a
bayoo	babys hammock
bazgimaa	have smb for
bazh	rafter stud squared
bbaa-	moving around going
bbaa-mshkikiiwe	go out looking
bbaa-nda-bezhgoogzhiiye	go out looking
bbaa-nda-bzhikiiwe	go out looking
bbaa-nikaa	be around on
bbaa-wiijiiwaa	accompany smb somewhere
bbaa-wiijiiwaa	date smb go
bbaa-wiijiiwe	accompany others go
bbaa-zhaa	go someplace
bbaagmaji	have chills come
bbaagskidoonese	smack ones lips
bbaagskidyewaa	spank smb give
bbaagskinjiiwaa	slap smb on
bbaagskinjiiwdiza	applaud clap ones
bbaamaadgaa	go for a
bbaamaadge	go for a
bbaamaadzi	go on a
